2023-05-05 16:25:30,291 INFO    StreamThr :23372 [internal.py:wandb_internal():87] W&B internal server running at pid: 23372, started at: 2023-05-05 16:25:30.291310
2023-05-05 16:25:30,294 DEBUG   HandlerThread:23372 [handler.py:handle_request():144] handle_request: status
2023-05-05 16:25:30,328 INFO    WriterThread:23372 [datastore.py:open_for_write():85] open: D:\PycharmProjects\PPOimplementation\wandb\offline-run-20230505_162530-oedqcyj7\run-oedqcyj7.wandb
2023-05-05 16:25:30,476 DEBUG   HandlerThread:23372 [handler.py:handle_request():144] handle_request: run_start
2023-05-05 16:25:30,489 DEBUG   HandlerThread:23372 [system_info.py:__init__():31] System info init
2023-05-05 16:25:30,489 DEBUG   HandlerThread:23372 [system_info.py:__init__():46] System info init done
2023-05-05 16:25:30,489 INFO    HandlerThread:23372 [system_monitor.py:start():183] Starting system monitor
2023-05-05 16:25:30,490 INFO    SystemMonitor:23372 [system_monitor.py:_start():147] Starting system asset monitoring threads
2023-05-05 16:25:30,490 INFO    HandlerThread:23372 [system_monitor.py:probe():204] Collecting system info
2023-05-05 16:25:30,495 INFO    SystemMonitor:23372 [interfaces.py:start():187] Started cpu monitoring
2023-05-05 16:25:30,495 DEBUG   HandlerThread:23372 [system_info.py:probe():195] Probing system
2023-05-05 16:25:30,495 INFO    SystemMonitor:23372 [interfaces.py:start():187] Started disk monitoring
2023-05-05 16:25:30,496 INFO    SystemMonitor:23372 [interfaces.py:start():187] Started memory monitoring
2023-05-05 16:25:30,503 INFO    SystemMonitor:23372 [interfaces.py:start():187] Started network monitoring
2023-05-05 16:25:30,504 DEBUG   HandlerThread:23372 [system_info.py:_probe_git():180] Probing git
2023-05-05 16:25:30,609 DEBUG   HandlerThread:23372 [system_info.py:_probe_git():188] Probing git done
2023-05-05 16:25:30,609 DEBUG   HandlerThread:23372 [system_info.py:probe():240] Probing system done
2023-05-05 16:25:30,610 DEBUG   HandlerThread:23372 [system_monitor.py:probe():213] {'os': 'Windows-10-10.0.19044-SP0', 'python': '3.8.13', 'heartbeatAt': '2023-05-05T08:25:30.495608', 'startedAt': '2023-05-05T08:25:30.248200', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'D:\\PycharmProjects\\PPOimplementation\\ppo_normalizeLayer.py', 'codePath': 'ppo_normalizeLayer.py', 'git': {'remote': 'https://github.com/Porthoos/PPOimplementation.git', 'commit': 'a26acb552623a2880e6c839658157ae56839f215'}, 'email': 'aramiis@163.com', 'root': 'D:/PycharmProjects/PPOimplementation', 'host': 'DESKTOP-RPOI2A1', 'username': 'JinLab', 'executable': 'D:\\anaconda3\\envs\\STAR_DEPLOY\\python.exe', 'cpu_count': 4, 'cpu_count_logical': 8, 'cpu_freq': {'current': 3408.0, 'min': 0.0, 'max': 3408.0}, 'cpu_freq_per_core': [{'current': 3408.0, 'min': 0.0, 'max': 3408.0}], 'disk': {'total': 931.5097618103027, 'used': 38.73706817626953}, 'memory': {'total': 15.909587860107422}}
2023-05-05 16:25:30,610 INFO    HandlerThread:23372 [system_monitor.py:probe():214] Finished collecting system info
2023-05-05 16:25:30,610 INFO    HandlerThread:23372 [system_monitor.py:probe():217] Publishing system info
2023-05-05 16:25:30,610 DEBUG   HandlerThread:23372 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-05-05 16:25:30,610 DEBUG   HandlerThread:23372 [system_info.py:_save_pip():67] Saving pip packages done
2023-05-05 16:25:30,610 DEBUG   HandlerThread:23372 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
2023-05-05 16:25:41,745 DEBUG   HandlerThread:23372 [system_info.py:_save_conda():86] Saving conda packages done
2023-05-05 16:25:41,746 DEBUG   HandlerThread:23372 [system_info.py:_save_code():89] Saving code
2023-05-05 16:25:41,835 DEBUG   HandlerThread:23372 [system_info.py:_save_code():110] Saving code done
